SITA_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Azure_Policy_Name,Azure_Policy_ID,Defender_Control,Defender_Recommendation
SITA-SPO-01,Sovereign Cloud Architecture,Data Residency,Ensure all data resides within South African borders,Technical,"Region configs, data location reports",N/A,N/A,Data Sovereignty,Enforce data residency in South Africa
SITA-SPO-02,Sovereign Cloud Architecture,Sovereign Identity,Implement identity services within sovereign boundaries,Technical,"Identity configs, directory location",N/A,N/A,Identity & Access Management,Configure sovereign identity services
SITA-SPO-03,Sovereign Cloud Architecture,Local Key Management,Manage encryption keys within South African jurisdiction,Technical,"Key Vault location, key management",N/A,N/A,Data Protection,Implement local key management
SITA-SPO-04,Sovereign Cloud Architecture,Government Network Connectivity,Secure connectivity to government networks (GovNet),Technical,"Network configs, VPN/ExpressRoute",N/A,N/A,Network Security,Secure government network connectivity
SITA-SPO-05,Sovereign Cloud Architecture,Sovereign Compute,Deploy compute resources in South African regions only,Technical,"VM locations, resource deployment regions",N/A,N/A,Compute Security,Deploy sovereign compute resources
SITA-SPO-06,Sovereign Cloud Architecture,Compliance with SA Laws,Ensure compliance with South African data protection laws (POPIA),Management,"Compliance assessments, legal reviews",N/A,N/A,Regulatory Compliance,Maintain POPIA compliance
SITA-SPO-07,Sovereign Cloud Architecture,Local Support and Operations,Ensure support and operations are based in South Africa,Operational,"Support contracts, operations center location",N/A,N/A,Governance & Compliance,Implement local operations
SITA-SPO-08,Sovereign Cloud Architecture,Background-Checked Personnel,Require background checks for personnel accessing government data,Management,"Background check records, clearance levels",N/A,N/A,Governance & Compliance,Verify personnel clearances
SITA-SPO-09,Sovereign Cloud Architecture,Incident Response Sovereignty,Implement incident response within sovereign boundaries,Operational,"IR procedures, local response teams",N/A,N/A,Incident Response,Implement sovereign incident response
SITA-SPO-10,Sovereign Cloud Architecture,Audit and Compliance Reporting,Provide audit trails for government compliance,Technical,"Audit logs, compliance reports",Enable logging by category group for resources to Log Analytics,N/A,Logging & Monitoring,Enable sovereign audit logging
SITA-SPO-11,Sovereign Cloud Architecture,Data Transfer Controls,Control and monitor data transfers outside SA borders,Technical,"Data transfer policies, monitoring",N/A,N/A,Data Protection,Monitor cross-border data transfers
SITA-SPO-12,Sovereign Cloud Architecture,Sovereign Backup and DR,Implement backup and DR within South African regions,Technical,"Backup configs, DR sites",N/A,N/A,Business Continuity,Implement sovereign backup and DR
SITA-SPO-13,Sovereign Cloud Architecture,Technology Sovereignty,Use technology solutions that support sovereign operations,Management,"Technology assessments, vendor reviews",N/A,N/A,Governance & Compliance,Assess technology sovereignty
SITA-SPO-14,Sovereign Cloud Architecture,Exit Strategy,Implement data portability and exit procedures,Operational,"Exit procedures, data export capabilities",N/A,N/A,Data Governance,Implement cloud exit strategy
SITA-Net-01,Network Architecture,Government Network Segmentation,Segment networks for different government classification levels,Technical,"Network topology, segmentation rules",Subnets should be associated with a Network Security Group,e71308d3-144b-4262-b144-efdc3cc90517,Network Security,Segment government networks
SITA-Net-02,Network Architecture,Secure Internet Gateway,Implement secure internet gateway for government traffic,Technical,"Gateway configs, firewall rules",N/A,N/A,Network Security,Secure internet gateway
SITA-Net-03,Network Architecture,Private Connectivity to Services,Use private endpoints for all government PaaS services,Technical,"Private endpoint inventory, DNS",App Configuration should use private link,ca610c1d-041c-4332-9d88-7ed3094967c7,Network Security,Implement private connectivity
SITA-Net-04,Network Architecture,Network Traffic Inspection,Inspect all network traffic for threats and policy violations,Technical,"IDS/IPS configs, traffic analysis",N/A,N/A,Network Security,Enable network traffic inspection
SITA-IAM-01,Identity & Access Management,Government Identity Federation,Federate with government identity services,Technical,"Federation configs, trust relationships",N/A,N/A,Identity & Access Management,Configure government identity federation
SITA-IAM-02,Identity & Access Management,Multi-Factor Authentication,Enforce MFA for all government user access,Technical,"MFA configs, authentication policies",Users must authenticate with multi-factor authentication to create or update resources,4e6c27d5-a6ee-49cf-b2b4-d8fe90fa2b8b,Identity & Access Management,Enforce MFA for government access
SITA-IAM-03,Identity & Access Management,Privileged Access for Government,Implement privileged access management for government administrators,Technical,"PIM configs, approval workflows",N/A,N/A,Identity & Access Management,Manage privileged government access
SITA-IAM-04,Identity & Access Management,Security Clearance Integration,Integrate security clearance levels with access controls,Technical,"Clearance attribute configs, RBAC",N/A,N/A,Identity & Access Management,Integrate security clearances
SITA-Data-01,Data Security,Government Data Classification,Classify data according to government security classifications,Operational,"Classification schema, data tagging",N/A,N/A,Data Protection,Classify government data
SITA-Data-02,Data Security,Classified Data Encryption,Encrypt classified data with government-approved algorithms,Technical,"Encryption configs, algorithm validation",OS and data disks should be encrypted with a customer-managed key,702dd420-7fcc-42c5-afe8-4026edd20fe0,Data Protection,Encrypt classified data
SITA-Data-03,Data Security,Data Sanitization,Implement secure data sanitization for decommissioned resources,Technical,"Sanitization procedures, verification",N/A,N/A,Data Protection,Implement data sanitization
SITA-Data-04,Data Security,Government Records Management,Manage government records per archival requirements,Operational,"Records management policies, retention",N/A,N/A,Data Governance,Implement records management
SITA-Sec-01,Security Operations,Government SOC,Establish or connect to government security operations center,Operational,"SOC procedures, integration configs",N/A,N/A,Security Operations,Connect to government SOC
SITA-Sec-02,Security Operations,Threat Intelligence Sharing,Share threat intelligence with government agencies,Operational,"Threat intel sharing agreements, feeds",N/A,N/A,Threat Protection,Share government threat intelligence
SITA-Sec-03,Security Operations,Security Event Correlation,Correlate security events across government systems,Technical,"SIEM configs, correlation rules",N/A,N/A,Logging & Monitoring,Correlate government security events
SITA-Sec-04,Security Operations,Vulnerability Management for Government,Implement vulnerability management aligned with government timelines,Operational,"Vulnerability scans, patching schedules",System updates should be installed on your machines (powered by Azure Update Manager),e1145ab1-eb4f-43d8-911b-36ddf771d13f,Vulnerability Management,Manage government vulnerabilities
SITA-Comp-01,Compliance & Governance,Government Compliance Framework,Adopt government-mandated compliance frameworks,Management,"Framework adoption, compliance mapping",N/A,N/A,Regulatory Compliance,Implement government compliance framework
SITA-Comp-02,Compliance & Governance,POPIA Compliance,Ensure compliance with Protection of Personal Information Act,Management,"POPIA assessments, DPO designation",N/A,N/A,Regulatory Compliance,Maintain POPIA compliance
SITA-Comp-03,Compliance & Governance,Government Audit Requirements,Meet government audit and reporting requirements,Operational,"Audit reports, compliance evidence",N/A,N/A,Regulatory Compliance,Meet government audit requirements
SITA-Comp-04,Compliance & Governance,Change Management,Implement change management aligned with government processes,Operational,"Change tickets, approval workflows",N/A,N/A,Governance & Compliance,Implement government change management
SITA-BC-01,Business Continuity,Critical Service Availability,Ensure availability of critical government services,Technical,"HA configs, SLA monitoring",N/A,N/A,Business Continuity,Ensure critical service availability
SITA-BC-02,Business Continuity,Government DR Requirements,Meet government disaster recovery requirements and timeframes,Technical,"DR configs, RTO/RPO",N/A,N/A,Business Continuity,Meet government DR requirements
SITA-BC-03,Business Continuity,National Emergency Preparedness,Prepare for national emergency scenarios,Operational,"Emergency procedures, continuity plans",N/A,N/A,Business Continuity,Implement emergency preparedness
SITA-BC-04,Business Continuity,Service Restoration Priority,Prioritize restoration of critical government services,Operational,"Priority matrix, restoration procedures",N/A,N/A,Business Continuity,Prioritize service restoration
