Control ID,Control Domain,Control Title,Control Description,Azure Policy Initiative,Microsoft Defender for Cloud,Azure Services/Features,Implementation Notes
CDC-TR-01a,Network Security,Firewalls and DDoS Protection,"Implement firewalls and DDoS protection mechanisms at the network level to protect cloud services.",Azure DDoS Protection Standard policies; NSG policies; Azure Firewall policies,Secure Score: Protect applications against DDoS attacks; Recommendation: Azure DDoS Protection Standard should be enabled,Azure Firewall Premium; Azure DDoS Network Protection; Network Security Groups; Web Application Firewall,Deploy Azure Firewall with threat intelligence-based filtering and DDoS Network Protection on VNets hosting workloads
CDC-TR-01b,Network Security,OS and Network Hardening,"Apply secure configurations (OS Hardening) to operating systems, networks, servers, and user accounts.",Microsoft Cloud Security Benchmark; Azure Automanage Machine Configuration policies,Recommendation: Machines should have a vulnerability assessment solution; System updates should be installed,Azure Automanage; Guest Configuration; Microsoft Defender for Servers,Apply CIS benchmarks via Guest Configuration; enable vulnerability assessment
CDC-TR-02,Identity & Access Control,Centralized Identity and Access Management,"Manage permissions and identity centrally using RBAC, IBAC, ABAC mechanisms, and implement tokenization for sensitive data.",ISO 27001:2022 (A.9 Access Control); Azure RBAC built-in policies; PIM policies,Recommendation: Role-Based Access Control should be used on Kubernetes Services; Use Azure RBAC for Key Vault,Microsoft Entra ID; Azure RBAC; Privileged Identity Management (PIM); Azure Key Vault (tokenization),Implement PIM for just-in-time privileged access; enforce RBAC across all resources
CDC-TR-03,Logging & Monitoring,SIEM Integration and Log Aggregation,"Audit user activities and data movements using SIEM systems integrated with log aggregation tools.",Enable auditing and logging policies; Diagnostic Settings policies; Activity Log policies,Secure Score: Enable auditing and logging,Microsoft Sentinel; Log Analytics workspace; Azure Monitor; Diagnostic Settings,Deploy Sentinel workspace; configure data connectors for all Azure services; enable Activity Log streaming
CDC-TR-04a,Identity & Access Control,Multi-Factor Authentication,"Enable two-factor (2FA) or multi-factor authentication (MFA) for all users accessing cloud services.",Microsoft Cloud Security Benchmark (IM-4); Conditional Access policies,Recommendation: MFA should be enabled on accounts with owner permissions; MFA should be enabled on accounts with write permissions,Microsoft Entra Conditional Access; Microsoft Authenticator; FIDO2 keys,Create Conditional Access policy requiring MFA for all users; exclude break-glass accounts with compensating controls
CDC-TR-04b,Identity & Access Control,Geographic Access Restrictions,"Enable conditional access based on geographic location (Geo-Blocking) to restrict access from unauthorized regions.",Conditional Access named locations policies,N/A (Entra ID feature - not monitored by Defender),Microsoft Entra Conditional Access; Named Locations,Configure named locations for Oman and approved regions; block access from high-risk countries
CDC-TR-05,Risk Management & Compliance,Penetration Testing and Risk Assessment,"Conduct technical security assessments (penetration testing) and risk analysis for cloud environments.",ISO 27001:2022 (A.18.2.3); Manual attestation policies,Recommendation: Vulnerability assessment should be enabled on your SQL servers; Machines should have vulnerability findings resolved,Microsoft Defender Vulnerability Management; Qualys integration; third-party pen testing,Enable Defender vulnerability assessment; schedule annual penetration tests; document risk register
CDC-TR-06,Data Protection & Privacy,Data Classification,"Classify all data according to sensitivity levels as per applicable laws and regulations.",Microsoft Cloud Security Benchmark (DP-1); SQL Data Discovery policies,Recommendation: Sensitive data in your SQL databases should be classified,Microsoft Purview Data Map; Sensitivity Labels; SQL Data Discovery and Classification,Deploy Purview for data discovery; apply sensitivity labels (Public, Internal, Confidential, Highly Confidential)
CDC-TR-07a,Data Protection & Privacy,Data Encryption in Transit and at Rest,"Protect data during transfer, processing, and storage using encryption mechanisms.",TLS enforcement policies; Storage encryption policies; SQL TDE policies,Recommendation: Secure transfer to storage accounts should be enabled; Transparent Data Encryption should be enabled,Azure Storage Service Encryption; TLS 1.2+ enforcement; Azure SQL TDE,Enforce HTTPS-only on storage; require TLS 1.2 minimum; enable TDE on all databases
CDC-TR-07b,Data Protection & Privacy,Customer-Managed Keys (BYOK),"Apply encryption using single, double, or customer-managed keys (BYOK) based on data sensitivity.",Microsoft Cloud for Sovereignty Baseline Confidential (SO.3); CMK policies for Storage/SQL/Disks,Recommendation: Storage accounts should use customer-managed key for encryption; SQL servers should use customer-managed keys,Azure Key Vault; Key Vault Managed HSM; Customer-Managed Keys; Double Encryption,Deploy Key Vault with HSM backing; configure CMK for storage accounts and SQL databases containing classified data
CDC-TR-07c,Identity & Access Control,Least Privilege Access,"Implement the principle of least privilege for access to data in transit and cloud resources.",ISO 27001:2022 (A.9.1); JIT access policies; PIM policies,Recommendation: Management ports should be closed on your virtual machines; Just-In-Time access should be enabled,Privileged Identity Management; Just-In-Time VM Access; Azure Bastion,Enable JIT access for VMs; implement PIM for all privileged roles; conduct quarterly access reviews
CDC-TR-08,Data Protection & Privacy,Cloud Data Loss Prevention,"Enable data loss prevention (Cloud DLP) capabilities across all cloud applications to prevent data leakage.",Manual (Microsoft Purview DLP); Defender for Cloud Apps policies,Integration: Microsoft Defender for Cloud Apps,Microsoft Purview DLP; Microsoft Defender for Cloud Apps; Endpoint DLP,Configure DLP policies in Purview for Exchange, SharePoint, OneDrive, Teams; integrate with Defender for Cloud Apps for SaaS
CDC-TR-09,Endpoint Protection,Antivirus and Antimalware,"Configure antivirus and antimalware systems for all servers and user devices.",Microsoft Cloud Security Benchmark (ES-2); Microsoft Antimalware extension policies,Secure Score: Enable endpoint protection; Recommendation: Endpoint protection should be installed,Microsoft Defender for Endpoint; Microsoft Defender for Servers; Microsoft Antimalware extension,Enable Defender for Servers P2; deploy Defender for Endpoint to all endpoints; configure real-time protection
CDC-TR-10,Vulnerability Management,Patch Management,"Install and maintain patch management software covering all systems and applications.",Update Management policies; Azure Update Manager policies,Recommendation: System updates should be installed on your machines; System updates on machines should be installed,Azure Update Manager; Windows Update for Business; Linux package management,Configure Azure Update Manager; create maintenance windows; enable automatic assessment
CDC-TR-11,Business Continuity & DR,Backup and Recovery,"Maintain regular offline backups of data, ensure secure and encrypted storage, with recovery capability for emergencies.",Azure Backup policies; Immutable vault policies; GRS/ZRS policies,Recommendation: Azure Backup should be enabled for Virtual Machines; Long-term geo-redundant backup should be enabled,Recovery Services Vault; Azure Backup; Immutable Vault; Geo-redundant storage,Enable immutable vaults; configure GRS for cross-region recovery; test restores quarterly; maintain offline backup copies
CDC-TR-12,Incident Response,Cyber Incident Response Plan,"Develop and maintain a plan for responding to cybersecurity incidents affecting cloud services.",ISO 27001:2022 (A.16); Manual attestation,N/A (procedural control),Microsoft Sentinel Playbooks; Logic Apps; Azure Monitor Action Groups,Create Sentinel automation rules; define incident classification; establish CDC notification procedures
CDC-POL-01,Cybersecurity Governance,Data Classification Prerequisite,"Organizations must classify data per Oman regulations before requesting external cloud services approval.",Manual attestation; Purview compliance policies,N/A (prerequisite control),Microsoft Purview Compliance Manager; Sensitivity Labels,Complete data classification exercise; document classifications; submit to CDC with approval request
CDC-POL-02,Cybersecurity Governance,CDC Policy Compliance,"Organizations must comply with all policies and circulars issued by the Cyber Defense Centre.",Manual attestation; Custom policy initiatives,Regulatory Compliance dashboard,Azure Policy custom initiatives; Compliance Manager,Create custom initiative mapping CDC controls; assign to all subscriptions; report compliance quarterly
CDC-POL-03,Cybersecurity Governance,Geographic Hosting Approval,"CDC determines approved geographic regions for hosting classified and sensitive data after verifying provider compliance with data protection laws.",Manual (region restriction policies); Allowed Locations policy,N/A (governance control),Azure Policy Allowed Locations; Resource Tags,Restrict deployments to CDC-approved regions; tag resources with data classification
CDC-POL-04,Cybersecurity Governance,Non-Standard Region Approval,"Prior written approval from CDC required for hosting data in non-approved geographic regions with full justification.",Manual attestation,N/A (governance control),Azure Policy Allowed Locations with exceptions; exemption documentation,Document business justification; submit to CDC; implement compensating controls
CDC-POL-05,Risk Management & Compliance,Risk Assessment Documentation,"Conduct risk assessment for external hosting, link to organizational risk register, and obtain head of organization approval.",Manual attestation; Risk assessment documentation,Defender for Cloud Secure Score; Attack Path Analysis,Microsoft Defender for Cloud CSPM; Attack Path Analysis,Enable Defender CSPM; document risk assessment; link findings to organizational risk register
CDC-POL-06,Logging & Monitoring,Semi-Annual Security Audit Reports,"Information security team must verify security controls implementation and submit technical audit reports to CDC every six months.",Manual attestation; Compliance reporting,Regulatory Compliance reports; Secure Score trends,Azure Policy compliance reports; Workbooks; Power BI,Create compliance workbook; schedule semi-annual reports; maintain audit evidence
CDC-POL-07,Business Continuity & DR,Local Backup Retention,"Maintain local backup copies of all data following best practices, with ability to process within Oman if external cloud access is lost.",Azure Backup policies; Cross-region restore policies,Recommendation: Geo-redundant backup should be enabled,Recovery Services Vault (local); Azure Site Recovery; Cross-region restore,Configure backup vault in Oman region (if available) or nearest approved region; test restore procedures
CDC-POL-08,AI Governance,AI Application Usage,"AI applications via external cloud computing may be used subject to MTCIT policies and CDC controls.",Manual attestation; AI governance policies,Defender for Cloud AI workload protection (preview),Azure OpenAI; AI Foundry; Defender for Cloud,Apply MTCIT AI policies; restrict AI service endpoints; implement content filtering
CDC-POL-09,Cybersecurity Governance,Communication Service Approvals,"Obtain all required permits from relevant authorities before using video/audio communication services in cloud packages.",Manual attestation,N/A (regulatory control),Microsoft Teams; Azure Communication Services,Obtain TRA approvals; document compliance; restrict unauthorized communication services
CDC-POL-10,Data Protection & Privacy,Prohibition on Secret Data,"Organizations must not store or transfer data classified as Secret or Top Secret to external cloud providers.",Custom deny policies; Sensitivity label policies,N/A (policy enforcement),Microsoft Purview; Azure Policy deny rules; Sensitivity Labels,Create policy denying resources with Secret/Top Secret tags; enforce label-based access controls
CDC-POL-11,Cybersecurity Governance,CDC Approval Validity,"CDC approval for external cloud hosting is valid for two years and must be renewed with contract renewal.",Manual attestation; Tag-based tracking,N/A (governance control),Azure Tags; Policy compliance tracking,Tag resources with approval date and expiry; create alert for renewal 90 days before expiry
CDC-POL-12,Cybersecurity Governance,Existing Hosting Notification,"Organizations with existing external hosting must notify CDC and align with these controls upon contract renewal.",Manual attestation,N/A (governance control),Compliance documentation,Document existing deployments; submit to CDC; create remediation plan
CDC-POL-13,Data Protection & Privacy,Encryption Key Management,"Organizations must apply approved policies from relevant authorities when managing encryption keys.",Key Vault policies; CMK rotation policies,Recommendation: Key Vault keys should have an expiration date,Azure Key Vault; Key Vault Managed HSM; Key rotation policies,Implement key rotation; enable soft delete and purge protection; configure key expiration alerts
CDC-POL-14,Cybersecurity Governance,Approval Revocation,"CDC may revoke external cloud usage approval for non-compliance with controls, policies, or requirements.",Manual attestation; Compliance monitoring,Regulatory Compliance dashboard,Azure Policy compliance state; Alerts,Monitor compliance continuously; remediate findings within SLA; document exceptions
CDC-CON-01,Third-Party Security,Provider Policy Change Notification,"Provider must obtain written consent before modifying policies related to data processing, transfer, storage, destruction, or security.",Manual (contractual),N/A (contractual control),Service Health alerts; Change tracking,Subscribe to Azure Service Health; review Azure updates; document consent process
CDC-CON-02,Third-Party Security,Prohibition on Unauthorized Data Access,"Provider must not access, use, or dispose of stored, processed, or transferred data without prior written authorization.",Manual (contractual),N/A (contractual control),Customer Lockbox; Access reviews,Enable Customer Lockbox; require explicit approval for Microsoft support access
CDC-CON-03,Data Protection & Privacy,Encryption at All Stages,"Use encryption mechanisms at all stages (storage, transfer) preventing loss, alteration, unauthorized disclosure, or accidental destruction.",TLS policies; Encryption at rest policies,Recommendation: Secure transfer should be enabled; TDE should be enabled,Azure Storage Encryption; TLS 1.2+; SQL TDE; Disk Encryption,Enforce TLS 1.2 minimum; enable encryption at rest for all services; use CMK where required
CDC-CON-04,Third-Party Security,Data Segregation,"Provider must not mix or combine organization data with other customers' data without prior written consent.",Manual (contractual); Dedicated host policies,N/A (contractual control),Azure Dedicated Host; Isolated tenancy options,Consider Azure Dedicated Host for highly sensitive workloads; document tenant isolation requirements
CDC-CON-05,Third-Party Security,Legal Request Notification,"Provider must notify organization when any judicial or security authority outside Oman requests access to organization data.",Manual (contractual),N/A (contractual control),Legal documentation; Azure compliance reports,Review Azure Government Requests Report; establish notification procedures
CDC-CON-06,Incident Response,Security Incident Notification,"Provider must immediately notify CDC and organization of any security incident affecting organization data, systems, or protection mechanisms.",Manual (contractual); Sentinel alerts,Security alerts; Incident notifications,Microsoft Sentinel; Defender for Cloud alerts; Service Health,Configure Sentinel to alert on security incidents; establish CDC notification workflow via Logic Apps
CDC-CON-07,Logging & Monitoring,Audit Log Platform and Retention,"Provider must provide platform for viewing audit logs and managing technical/security events with minimum 6-month retention.",Diagnostic Settings retention policies; Log Analytics retention,Recommendation: Activity log should be retained for at least one year,Log Analytics workspace; Microsoft Sentinel; Activity Logs,Configure 6-month minimum retention (recommend 1 year); enable all diagnostic categories
CDC-CON-08,AI Governance,Prohibition on AI Training with Customer Data,"Provider cloud companies must not use organization data to train AI applications or other applications for purposes not agreed upon.",Manual (contractual); AI governance policies,N/A (contractual control),Azure OpenAI data processing controls; Contractual terms,Review Azure data processing terms; opt out of model training; document data handling requirements
CDC-CON-09,Third-Party Security,Training and Knowledge Transfer,"Provider must provide training and knowledge transfer to organization's technical and user staff on security configurations and audit operations.",Manual (contractual),N/A (contractual control),Microsoft Learn; Azure training resources,Include training requirements in contract; document staff certifications
CDC-CON-10,Third-Party Security,Provider Certifications,"Provider must demonstrate valid international certifications: ISO 27001, ISO 27002, ISO 27017, ISO 27018, ISO 22237, SOC 2.",Manual attestation; Compliance documentation,Regulatory Compliance dashboard,Azure Compliance Manager; Azure compliance documentation,Verify Azure certifications at Microsoft Trust Center; document in compliance records
CDC-CON-11,Third-Party Security,Subcontractor Compliance,"Ensure provider's external cloud service subcontractors comply with all stated policies and controls.",Manual (contractual),N/A (contractual control),Azure subprocessor list; Contractual flow-down,Review Azure subprocessor list; ensure contractual flow-down of security requirements
CDC-CON-12,Third-Party Security,Support Staff Privacy,"Do not allow technical support contractors or subcontractors to commit acts violating information privacy and security.",Manual (contractual); Customer Lockbox,N/A (contractual control),Customer Lockbox; Access reviews; Audit logs,Enable Customer Lockbox; audit all support access; require background checks in contract
CDC-CON-13,Business Continuity & DR,Contract Termination and Migration,"Ensure ease of contract termination or service migration to new cloud provider.",Manual (contractual),N/A (contractual control),Azure data export; Migration tools,Document data export procedures; test migration capabilities; maintain portability
CDC-CON-14,Data Protection & Privacy,Data Ownership and Retrieval,"Confirm data ownership remains with organization; provider must return all data within 10 business days of termination request in compatible format.",Manual (contractual),N/A (contractual control),Azure data export; Storage account access,Document data retrieval procedures; test export capabilities; specify format requirements in contract
CDC-CON-15,Third-Party Security,Service Level Agreement,"Document all contractual matters in comprehensive SLA including availability, reliability, scalability, business continuity, and technical support, plus NDA reviewed by legal department.",Manual (contractual),N/A (contractual control),Azure SLA documentation; NDA templates,Review Azure SLAs; negotiate custom terms where needed; obtain legal review
CDC-CON-16,Data Protection & Privacy,Data Destruction Procedures,"Establish agreed mechanism for data destruction upon contract termination per international certifications and quality standards.",Manual (contractual); Data lifecycle policies,N/A (contractual control),Azure data deletion; Cryptographic erasure,Document destruction procedures; require certificate of destruction; use cryptographic erasure
CDC-CON-17,Third-Party Security,Data Residency Compliance,"When contracting with external cloud provider outside Oman, data center locations must be in countries with privacy and data protection laws compatible with Oman legislation.",Allowed Locations policy; Region restriction policies,N/A (governance control),Azure Policy Allowed Locations; Azure region selection,Restrict to approved regions; document data protection law compatibility assessment
CDC-REQ-ISO27001,Third-Party Security,ISO 27001 Certification,"Provider must hold valid ISO 27001 certification for Information Security Management System.",Manual attestation,Regulatory Compliance: ISO 27001,Azure compliance documentation,Verify at Microsoft Trust Center; assign ISO 27001:2022 policy initiative
CDC-REQ-ISO27002,Third-Party Security,ISO 27002 Compliance,"Provider must comply with ISO 27002 guidance for establishing and maintaining ISMS.",Manual attestation,Regulatory Compliance: ISO 27002,Azure compliance documentation,Verify alignment; assign ISO 27002:2022 policy initiative
CDC-REQ-ISO27017,Third-Party Security,ISO 27017 Certification,"Provider must hold valid ISO 27017 certification for cloud security controls.",Manual attestation,Regulatory Compliance: ISO 27017,Azure compliance documentation,Verify at Microsoft Trust Center; assign ISO 27017:2015 policy initiative
CDC-REQ-ISO27018,Third-Party Security,ISO 27018 Certification,"Provider must hold valid ISO 27018 certification for cloud privacy protection.",Manual attestation,N/A,Azure compliance documentation,Verify at Microsoft Trust Center; document privacy controls
CDC-REQ-ISO22237,Third-Party Security,ISO 22237 Certification,"Provider must hold valid ISO 22237 certification for data center specifications.",Manual attestation,N/A,Azure compliance documentation,Verify data center certifications for selected regions
CDC-REQ-SOC2,Third-Party Security,SOC 2 Type II Report,"Provider must hold valid SOC 2 Type II report demonstrating security controls for data processing.",Manual attestation,N/A,Azure SOC reports,Request Azure SOC 2 Type II report from Microsoft Trust Center; review annually
